,adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
0,False,"['Comedy', 'Horror']",474350,en,It Chapter Two,442.401,2019-09-06,It Chapter Two,False,7.2,283
1,False,"['Comedy', 'Crime', 'Drama']",429203,en,The Old Man & the Gun,247.416,2018-09-28,The Old Man & the Gun,False,6.3,498
2,False,"['Action', 'Adventure', 'Science Fiction']",320288,en,Dark Phoenix,179.504,2019-06-07,Dark Phoenix,False,6.1,1675
3,False,['Action'],384018,en,Fast & Furious Presents: Hobbs & Shaw,124.178,2019-08-02,Fast & Furious Presents: Hobbs & Shaw,False,6.5,1028
4,False,['Action'],423204,en,Angel Has Fallen,149.039,2019-08-23,Angel Has Fallen,False,5.7,276
5,False,"['Action', 'Adventure', 'Animation', 'Drama', 'Family']",420818,en,The Lion King,124.906,2019-07-19,The Lion King,False,7.2,2366
6,False,"['Action', 'Crime', 'Thriller']",458156,en,John Wick: Chapter 3 – Parabellum,143.032,2019-05-17,John Wick: Chapter 3 – Parabellum,False,7.1,2377
7,False,"['Adventure', 'Animation', 'Comedy', 'Family']",920,en,Cars,95.76,2006-06-09,Cars,False,6.7,8027
8,False,"['Action', 'Adventure', 'Science Fiction']",429617,en,Spider-Man: Far from Home,182.251,2019-07-02,Spider-Man: Far from Home,False,7.7,3369
9,False,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Family']",420817,en,Aladdin,121.081,2019-05-24,Aladdin,False,7.1,3177
10,False,['Comedy'],521777,en,Good Boys,87.772,2019-08-16,Good Boys,False,6.6,190
11,False,"['Animation', 'Romance']",486589,en,Red Shoes and the Seven Dwarfs,133.483,2019-08-01,Red Shoes and the Seven Dwarfs,False,5.1,28
12,False,"['Action', 'Science Fiction']",373571,en,Godzilla: King of the Monsters,84.617,2019-05-31,Godzilla: King of the Monsters,False,6.2,1321
13,False,['Comedy'],540901,en,Hustlers,100.01,2019-09-13,Hustlers,False,8.0,10
14,False,"['Adventure', 'Science Fiction', 'Action']",299534,en,Avengers: Endgame,79.578,2019-04-26,Avengers: Endgame,False,8.3,9296
15,False,"['Comedy', 'Drama', 'Romance']",625450,en,Tall Girl,110.919,2019-09-13,Tall Girl,False,10.0,1
16,False,"['Action', 'Thriller']",245891,en,John Wick,70.622,2014-10-24,John Wick,False,7.2,10769
17,False,"['Drama', 'Romance']",593961,tl,"Hello, Love, Goodbye",46.032,2019-07-31,"Hello, Love, Goodbye",False,5.6,37
18,False,"['Action', 'Adventure', 'Science Fiction']",299536,en,Avengers: Infinity War,74.539,2018-04-27,Avengers: Infinity War,False,8.3,15161
19,False,"['Action', 'Comedy', 'Crime', 'Drama', 'Western']",466272,en,Once Upon a Time in Hollywood,58.089,2019-07-26,Once Upon a Time in Hollywood,False,7.5,941
20,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",456740,en,Hellboy,51.087,2019-04-12,Hellboy,False,5.1,1109
